000
CALDATA,0067, 1,   2017/ 4/ 2,11 00,18 00 
CALDATA,0067, 2,   2017/ 4/ 3,10 00,21 00 
CALDATA,0067, 3,   2017/ 4/ 4,10 00,21 00 
CALDATA,0067, 4,   2017/ 4/ 5,10 00,21 00
CALDATA,0067, 5,   2017/ 4/ 6,10 00,21 00 
CALDATA,0067, 6,   2017/ 4/ 7,10 00,21 00 
CALDATA,0067, 7,   2017/ 4/ 8, 9 30,18 00 
CALDATA,0067, 8,   2017/ 4/ 9,11 00,18 00 
CALDATA,0067, 9,   2017/ 4/10,10 00,21 00 
CALDATA,0067, 10,  2017/ 4/11,10 00,21 00 
CALDATA,0067, 11,  2017/ 4/12,10 00,21 00 
CALDATA,0067, 12,  2017/ 4/13,10 00,21 00 
CALDATA,0067, 13,  2017/ 4/14,00 00,00 00 
CALDATA,0067, 14,  2017/ 4/15, 9 30,18 00 
CALDATA,0067, 15,  2017/ 4/16,00 00,00 00 
CALDATA,0067, 16,  2017/ 4/17,10 00,21 00 
CALDATA,0067, 17,  2017/ 4/18,10 00,21 00 
CALDATA,0067, 18,  2017/ 4/19,10 00,21 00 
CALDATA,0067, 19,  2017/ 4/20,10 00,21 00 
CALDATA,0067, 20,  2017/ 4/21,10 00,21 00 
CALDATA,0067, 21,  2017/ 4/22, 9 30,18 00 
CALDATA,0067, 22,  2017/ 4/23,11 00,18 00 
CALDATA,0067, 23,  2017/ 4/24,10 00,21 00 
CALDATA,0067, 24,  2017/ 4/25,10 00,21 00 
CALDATA,0067, 25,  2017/ 4/26,10 00,21 00 
CALDATA,0067, 26,  2017/ 4/27,10 00,21 00 
CALDATA,0067, 27,  2017/ 4/28,10 00,21 00 
CALDATA,0067, 28,  2017/ 4/29, 9 30,18 00 
CALDATA,0067, 29,  2017/ 4/30,11 00,18 00 
CALDATA,0067, 30,  2017/ 5/ 1,10 00,21 00 
CALDATA,0067, 31,  2017/ 5/ 2,10 00,21 00 
CALDATA,0067, 32,  2017/ 5/ 3,10 00,21 00 
CALDATA,0067, 33,  2017/ 5/ 4,10 00,21 00 
CALDATA,0067, 34,  2017/ 5/ 5,10 00,21 00 
CALDATA,0067, 35,  2017/ 5/ 6, 9 30,18 00 
CALDATA,0067, 36,  2017/ 5/ 7,11 00,18 00 
CALDATA,0067, 37,  2017/ 5/ 8,10 00,21 00 
CALDATA,0067, 38,  2017/ 5/ 9,10 00,21 00 
CALDATA,0067, 39,  2017/ 5/10,10 00,21 00 
CALDATA,0067, 40,  2017/ 5/11,10 00,21 00 
CALDATA,0067, 41,  2017/ 5/12,10 00,21 00 
CALDATA,0067, 42,  2017/ 5/13, 9 30,18 00 
CALDATA,0067, 43,  2017/ 5/14,11 00,18 00 
CALDATA,0067, 44,  2017/ 5/15,10 00,21 00 
CALDATA,0067, 45,  2017/ 5/16,10 00,21 00 
CALDATA,0067, 46,  2017/ 5/17,10 00,21 00 
CALDATA,0067, 47,  2017/ 5/18,10 00,21 00 
CALDATA,0067, 48,  2017/ 5/19,10 00,21 00 
CALDATA,0067, 49,  2017/ 5/20, 9 30,18 00 
CALDATA,0067, 50,  2017/ 5/21,11 00,18 00 
666
